"","X.10lgP","Mass","ppm","m.z","RT","Start","End","diff_range"
"12300",17.09,3038.3386,10.1,1013.7971,16.59,0.9426,0.968,0.0254
"12301",17.08,971.5287,-3.4,972.5327,6.79,1.3357,1.3614,0.0256999999999998
"12302",17.08,762.4064,-6.3,763.4089,13.69,1.1628,1.1883,0.0254999999999999
"12303",17.08,544.3043,-18.3,545.3016,10.51,0.9599,0.9853,0.0254
"12304",17.08,544.3043,-18.3,545.3016,10.51,0.9599,0.9853,0.0254
"12305",17.08,2239.9595,0,1120.9871,14.4,1.1352,1.1607,0.0255000000000001
"12306",17.08,615.334,5.2,616.3445,2.05,1.025,1.0505,0.0255000000000001
"12307",17.08,615.334,5.2,616.3445,2.05,1.025,1.0505,0.0255000000000001
"12308",17.08,1387.7207,-0.6,694.8672,12.04,0.8674,0.8928,0.0254000000000001
"12309",17.08,654.2609,8.9,655.274,2.34,1.026,1.0515,0.0255000000000001
"12310",17.08,622.3074,3.7,623.317,4.53,1.0322,1.0576,0.0254000000000001
"12311",17.07,989.493,-6.2,495.7507,3.96,0.7285,0.7538,0.0253
"12312",17.07,775.3898,9.8,776.4047,10.56,1.1617,1.1873,0.0256000000000001
"12313",17.07,775.3898,9.8,776.4047,10.56,1.1617,1.1873,0.0256000000000001
"12314",17.07,1077.5818,-49,539.7718,8.57,0.7629,0.7882,0.0253
"12315",17.07,502.2751,-5.5,503.2796,3.03,0.9202,0.9456,0.0254
"12316",17.07,731.3813,1.6,732.3898,12.11,1.1321,1.1577,0.0255999999999998
"12317",17.07,731.3813,1.6,732.3898,12.11,1.1321,1.1577,0.0255999999999998
"12318",17.07,731.3813,1.6,732.3898,12.11,1.1321,1.1577,0.0255999999999998
"12319",17.06,787.4188,0.9,788.4268,5.21,1.1658,1.1914,0.0256000000000001
"12320",17.06,729.4272,-2.1,730.433,11.04,1.1311,1.1566,0.0255000000000001
"12321",17.06,729.4272,-2.1,730.433,11.04,1.1311,1.1566,0.0255000000000001
"12322",17.06,729.4272,-2.1,730.433,11.04,1.1311,1.1566,0.0255000000000001
"12323",17.06,729.4272,-2.1,730.433,11.04,1.1311,1.1566,0.0255000000000001
"12324",17.06,994.5157,2.7,995.5258,16.54,1.3645,1.3901,0.0255999999999998
"12325",17.06,596.3282,4.8,597.3383,7.04,0.9945,1.0199,0.0254
"12326",17.06,1132.624,-5,567.3165,8.66,0.7811,0.8065,0.0254
"12327",17.06,766.3531,2.8,767.3625,10.95,1.1434,1.1689,0.0255000000000001
"12328",17.06,939.4661,6.1,470.7432,4.39,0.7001,0.7254,0.0253000000000001
"12329",17.06,478.254,4.6,479.2634,1.91,0.8968,0.9222,0.0254
"12330",17.05,1020.4698,2.7,1021.4799,16.15,1.3214,1.347,0.0256000000000001
"12331",17.05,798.4058,13.9,799.4242,10.92,1.1791,1.2047,0.0256000000000001
"12332",17.05,601.3184,27.6,602.3422,6.9,1.0077,1.0332,0.0254999999999999
"12333",17.05,618.2795,30.1,619.3054,9.67,1.0087,1.0342,0.0255000000000001
"12334",17.05,616.318,0,617.3253,7.93,1.0271,1.0525,0.0254000000000001
"12335",17.05,616.318,0,617.3253,7.93,1.0271,1.0525,0.0254000000000001
"12336",17.04,718.3497,-45.3,719.3245,9.32,1.0699,1.0954,0.0254999999999999
"12337",17.04,546.2761,15.3,547.2917,4.3,0.9589,0.9843,0.0254
"12338",17.04,546.2761,15.3,547.2917,4.3,0.9589,0.9843,0.0254
"12339",17.04,461.2234,2.2,462.2317,4.99,0.8694,0.8948,0.0254000000000001
"12340",17.04,587.3027,-0.1,588.3099,2.19,0.9945,1.0199,0.0254
"12341",17.03,666.3337,3.8,667.3435,2.64,1.0699,1.0954,0.0254999999999999
"12342",17.03,924.4528,3.6,925.4634,13.03,1.2794,1.305,0.0255999999999998
"12343",17.03,622.2962,24.5,623.3187,8.73,1.0322,1.0576,0.0254000000000001
"12344",17.02,823.4075,-13.7,824.4035,7.61,1.1985,1.2241,0.0256000000000001
"12345",17.02,631.3078,1.8,632.3162,1.98,1.0332,1.0587,0.0255000000000001
"12346",17.02,545.2921,-13.7,546.2919,4.55,0.9599,0.9853,0.0254
"12347",17.02,943.4147,6.7,472.7178,4.1,0.6951,0.7204,0.0253
"12348",17.02,490.2751,8.3,491.2864,4.19,0.9111,0.9365,0.0254
"12349",17.02,490.2751,8.3,491.2864,4.19,0.9111,0.9365,0.0254
"12350",17.02,1034.576,2.1,1035.5854,10.92,1.3809,1.4065,0.0256000000000001
"12351",17.02,692.3527,-9.2,693.3536,11.54,1.0984,1.124,0.0256000000000001
"12352",17.02,751.4116,-5.1,752.415,8.46,1.1413,1.1668,0.0255000000000001
"12353",17.01,1013.493,-3.2,1014.4971,8.41,1.3747,1.4004,0.0257000000000001
"12354",17.01,734.3711,-1.9,735.377,15.52,1.1331,1.1587,0.0256000000000001
"12355",17.01,734.3711,-1.9,735.377,15.52,1.1331,1.1587,0.0256000000000001
"12356",17.01,930.4771,0.1,931.4844,6.79,1.2763,1.3019,0.0256000000000001
"12357",17.01,926.4392,0.6,464.2271,4.53,0.7052,0.7305,0.0253
"12358",17.01,719.3337,8.4,720.347,10.9,1.1035,1.1291,0.0256000000000001
"12359",17.01,702.3925,-18.3,703.387,13.12,1.0923,1.1178,0.0254999999999999
"12360",17,976.4713,5.6,977.4839,3.1,1.3183,1.3439,0.0256000000000001
"12361",17,648.3595,0.3,649.3669,12.25,1.0597,1.0852,0.0254999999999999
"12362",17,648.3595,0.3,649.3669,12.25,1.0597,1.0852,0.0254999999999999
"12363",17,530.2812,7.2,531.2924,3.41,0.9456,0.9711,0.0255
"12364",17,601.3184,16.6,602.3356,6.9,1.0118,1.0373,0.0255000000000001
"12365",17,601.3184,16.6,602.3356,6.9,1.0118,1.0373,0.0255000000000001
"12366",17,600.3119,19.9,601.3311,4.26,1.0006,1.026,0.0254000000000001
"12367",16.99,616.318,-12.8,617.3174,5.74,1.022,1.0474,0.0254000000000001
"12368",16.99,730.361,13.9,731.3784,11.61,1.0984,1.124,0.0256000000000001
"12369",16.99,914.4756,1,458.2455,4.69,0.686,0.7113,0.0253
"12370",16.99,698.3962,-1.2,699.4027,3.64,1.1056,1.1311,0.0255000000000001
"12371",16.99,1233.4979,-15.7,617.7466,2.39,0.774,0.7994,0.0254
"12372",16.99,1092.457,2.3,547.2371,3.76,0.7518,0.7771,0.0253
"12373",16.99,706.3683,2.1,707.3771,14.56,1.1127,1.1382,0.0255000000000001
"12374",16.98,659.3239,3.5,660.3334,11.93,1.0556,1.0811,0.0254999999999999
"12375",16.98,800.4756,7.2,801.4886,11.5,1.1975,1.2231,0.0256000000000001
"12376",16.98,953.5334,-1.1,954.5397,15.49,1.3419,1.3675,0.0255999999999998
"12377",16.98,1356.6885,6.9,679.3562,14.33,0.8511,0.8765,0.0254
"12378",16.98,1356.6885,6.9,679.3562,14.33,0.8511,0.8765,0.0254
"12379",16.98,1348.7074,-8.1,675.3555,14.83,0.8582,0.8836,0.0254000000000001
"12380",16.97,886.476,0.8,887.4839,10.54,1.2343,1.2599,0.0256000000000001
"12381",16.97,886.476,0.8,887.4839,10.54,1.2343,1.2599,0.0256000000000001
"12382",16.97,576.269,22.6,577.2893,9.1,0.9873,1.0128,0.0255
"12383",16.97,703.3938,0.1,704.4011,9.6,1.1097,1.1352,0.0255000000000001
"12384",16.97,643.3541,0.7,644.3618,8.87,1.0444,1.0699,0.0255000000000001
"12385",16.97,643.3541,0.7,644.3618,8.87,1.0444,1.0699,0.0255000000000001
"12386",16.97,530.3064,-19.7,531.3032,0.05,0.9487,0.9741,0.0254
"12387",16.97,530.3064,-19.7,531.3032,0.05,0.9487,0.9741,0.0254
"12388",16.96,859.4287,-8,860.4291,8.18,1.2261,1.2517,0.0256000000000001
"12389",16.96,558.2761,39.2,559.3053,7.7,0.9711,0.9965,0.0254000000000001
"12390",16.95,517.286,-21.6,518.2821,0.68,0.9344,0.9599,0.0255
"12391",16.95,564.2907,-47.4,565.2712,3.28,0.9711,0.9965,0.0254000000000001
"12392",16.94,812.3561,30.9,813.3885,13.41,1.2047,1.2302,0.0254999999999999
"12393",16.94,610.3187,2.2,611.3273,6.06,1.0047,1.0301,0.0254000000000001
"12394",16.94,610.3187,2.2,611.3273,6.06,1.0047,1.0301,0.0254000000000001
"12395",16.94,1209.5424,24.3,605.7932,13.48,0.8105,0.8359,0.0254
"12396",16.94,691.2773,6.1,692.2888,8.25,1.0383,1.0638,0.0255000000000001
"12397",16.94,769.3503,4.6,770.3611,15.86,1.1515,1.1771,0.0256000000000001
"12398",16.94,1031.5134,-35.5,1032.4841,2.89,1.3296,1.3552,0.0256000000000001
"12399",16.93,683.3966,-4.5,684.4008,6.15,1.0811,1.1066,0.0255000000000001
"12400",16.93,633.2969,-26.9,634.2872,2.53,0.9996,1.025,0.0253999999999999
"12401",16.93,686.3459,5.2,687.3568,16.02,1.0954,1.1209,0.0255000000000001
"12402",16.92,850.4293,8.2,851.4435,17.52,1.2456,1.2712,0.0256000000000001
"12403",16.92,622.3074,-1,623.3141,4.51,1.0332,1.0587,0.0255000000000001
"12404",16.91,793.3857,5.4,794.3973,7.04,1.1781,1.2036,0.0255000000000001
"12405",16.91,793.3857,5.4,794.3973,7.04,1.1781,1.2036,0.0255000000000001
"12406",16.91,558.3126,1.3,559.3206,6.68,0.9599,0.9853,0.0254
"12407",16.91,558.3126,1.3,559.3206,6.68,0.9599,0.9853,0.0254
"12408",16.91,566.27,16.9,567.2869,6.01,0.9721,0.9975,0.0254000000000001
"12409",16.91,546.3013,-8.4,547.304,1.26,0.9639,0.9894,0.0255
"12410",16.91,546.3013,-8.4,547.304,1.26,0.9639,0.9894,0.0255
"12411",16.9,1141.5226,44.6,571.794,14.88,0.7761,0.8014,0.0253
"12412",16.9,502.2751,6.1,503.2854,0.16,0.9192,0.9446,0.0254
"12413",16.9,1131.556,8.1,1132.5725,10.7,1.422,1.4476,0.0256000000000001
"12414",16.89,702.3047,2.3,703.3136,10.63,1.1086,1.1342,0.0256000000000001
"12415",16.89,771.3949,-8.8,772.3954,8.07,1.1587,1.1842,0.0254999999999999
"12416",16.89,602.3387,-0.7,603.3456,8.23,0.9894,1.0148,0.0254
"12417",16.89,587.3027,-11.8,588.3031,11.68,1.0006,1.026,0.0254000000000001
"12418",16.89,587.3027,-11.8,588.3031,11.68,1.0006,1.026,0.0254000000000001
"12419",16.88,590.3024,4.5,591.3123,8.16,0.9975,1.023,0.0254999999999999
